Alcohol_Percent,Link,Name,Price_Pound,Region,Volume
43% abv,https://www.whiskyshop.com/auchentoshan-18-year-old,Auchentoshan 18 Year Old,96.00,Lowland,70cl
43% abv,https://www.whiskyshop.com/balvenie-14-year-old-caribbean-cask,Balvenie 14 Year Old Caribbean Cask,60.00,Speyside,70cl
43% abv,https://www.whiskyshop.com/bowmore-15-year-old,Bowmore 15 Year Old,67.00,Islay,70cl
40% abv,https://www.whiskyshop.com/cardhu-18-year-old,Cardhu 18 Year Old,86.00,Speyside,70cl
43% abv,https://www.whiskyshop.com/dalmore-18-year-old,Dalmore 18 Year Old,125.00,Highland,70cl
43% abv,https://www.whiskyshop.com/dailuaine-16-year-old,Dailuaine 16 Year Old,55.90,Speyside,70cl
40% abv,https://www.whiskyshop.com/speyburn-10-year-old,Speyburn 10 Year Old,37.00,Speyside,70cl
43% abv,https://www.whiskyshop.com/glenmorangie-lasanta,Glenmorangie Lasanta,55.00,Highland,70cl
40% abv,https://www.whiskyshop.com/glen-moray-15-year-old,Glen Moray 15 Year Old,55.00,Speyside,70cl
43% abv,https://www.whiskyshop.com/lagavulin-distillers-edition,Lagavulin Distillers Edition 2019,93.95,Islay,70cl
43% abv,https://www.whiskyshop.com/dalwhinnie-distillers-edition,Dalwhinnie Distillers Edition,76.00,Highland,70cl
46% abv,https://www.whiskyshop.com/glenmorangie-nectar-d-or,Glenmorangie Nectar d'Or,65.00,Highland,70cl
40% abv,https://www.whiskyshop.com/glenfiddich-15-year-old-solera,Glenfiddich 15 Year Old Solera,52.00,Speyside,70cl
46.3% abv,https://www.whiskyshop.com/ledaig-18-year-old,Ledaig 18 Year Old,89.00,Island,70cl
43% abv,https://www.whiskyshop.com/highland-park-18-year-old,Highland Park 18 Year Old,110.00,Island,70cl
46% abv,https://www.whiskyshop.com/speyburn-15-year-old,Speyburn 15 Year Old,68.00,Speyside,70cl
47.2% abv,https://www.whiskyshop.com/glen-moray-18-year-old,Glen Moray 18 Year Old,85.00,Speyside,70cl
46.3% abv,https://www.whiskyshop.com/deanston-virgin-oak,Deanston Virgin Oak,34.00,Highland,70cl
46% abv,https://www.whiskyshop.com/benromach-organic,Benromach Organic,45.95,Speyside,70cl
48.8% abv,https://www.whiskyshop.com/glen-scotia-25-year-old,Glen Scotia 25 Year Old,375.00,Campbeltown,70cl
43% abv,https://www.whiskyshop.com/macallan-25-year-old-sherry-oak-2020,Macallan 25 Year Old Sherry Oak 2020,"1,650.00",Speyside,70cl
,https://www.whiskyshop.com/glen-scotia-taster-pack,Glen Scotia Taster Pack,24.00,Campbeltown,3x5cl
